epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3925,1.49578,9.98079,0.78068,2.75303,1.86583,0.39738,0.92322,0.50281,0.40213,0,0,0,0,0.69227,8.35389,0.15344,11.2463,1.32571,0.0003334,0.0003334,0.0003334
2,35.4025,0.8851,6.8751,0.47696,1.59714,1.20456,0.38181,0.98649,0.54674,0.36083,0,0,0,0,0.99684,9.79801,0.0114,9.26889,1.65648,0.000676704,0.000676704,0.000676704
3,50.2236,0.91349,6.32957,0.45337,1.46776,1.20901,0.00518,0.23894,0.00381,0.00064,0,0,0,0,3.57641,11.6181,5.87191,176.178,9.07729,0.00101308,0.00101308,0.00101308
4,74.1795,0.91943,6.03552,0.44162,1.34653,1.20953,0.08763,0.61886,0.09556,0.06653,0,0,0,0,1.1497,7.26951,0.00479,7.42442,1.58606,0.00134252,0.00134252,0.00134252
5,94.374,0.95304,5.95219,0.39774,1.31828,1.22707,0.41804,0.76182,0.4919,0.37881,0.14332,0.26229,0.05918,0.00613,0.87478,5.53934,0.02502,4.18784,1.25724,0.00160099,0.00160099,0.00160099
6,110.172,0.96834,6.01196,0.39293,1.22443,1.19853,0.00877,0.85565,0.00988,0.00465,0,0,0,0,1.53697,7.26317,0.02431,34.6649,1.6796,0.00158448,0.00158448,0.00158448
7,133.119,0.9236,5.93137,0.36816,1.20628,1.19193,0.50258,0.95946,0.62887,0.52824,0.35464,0.65541,0.36684,0.06064,0.69029,4.81238,0.00662,1.03824,1.10715,0.00156798,0.00156798,0.00156798
8,153.823,0.81572,5.26775,0.35749,1.11758,1.13124,0.50938,0.90909,0.6208,0.51094,0.3738,0.64358,0.39672,0.07387,0.71801,4.36845,0.01483,1.12767,1.17938,0.00155148,0.00155148,0.00155148
9,174.594,0.82022,5.23935,0.35666,1.10875,1.14935,0.35351,0.875,0.42185,0.35736,0.261,0.68182,0.26548,0.06528,0.66686,4.46029,0.03393,1.56719,1.09092,0.00153497,0.00153497,0.00153497
10,197.064,0.78219,5.06939,0.33757,1.07289,1.12075,0.52288,0.88053,0.66998,0.58265,0.3856,0.63053,0.37777,0.08193,0.5881,4.35864,0.0722,1.01488,1.02111,0.00151847,0.00151847,0.00151847
11,215.011,0.78851,5.05542,0.32783,1.05078,1.12627,0.53032,0.88165,0.69085,0.59895,0.41248,0.6848,0.44058,0.09259,0.57314,4.40417,0.16682,0.89523,1.00134,0.00150197,0.00150197,0.00150197
12,233.984,0.78715,5.09736,0.32414,1.03178,1.13463,0.50952,0.82955,0.61412,0.52706,0.46456,0.64058,0.40947,0.11258,0.58589,4.10071,0.0126,1.30545,1.01873,0.00148546,0.00148546,0.00148546
13,250.422,0.78216,4.86905,0.3229,0.99287,1.1093,0.49719,0.89288,0.6292,0.54051,0.51436,0.8409,0.59791,0.17285,0.57298,3.8853,0.02156,1.11605,1.00188,0.00146896,0.00146896,0.00146896
14,269.654,0.76205,4.76022,0.29591,0.96788,1.08704,0.43963,0.67045,0.58459,0.50586,0.39239,0.5433,0.38827,0.10576,0.64062,5.049,0.02176,2.39093,1.03904,0.00145246,0.00145246,0.00145246
15,293.333,0.7513,4.77998,0.28711,0.97019,1.08976,0.57707,0.78884,0.76471,0.6632,0.49975,0.63421,0.46909,0.15512,0.5714,4.28892,0.03449,1.7861,1.00697,0.00143595,0.00143595,0.00143595
16,313.291,0.73363,4.7147,0.28374,0.94966,1.07902,0.51787,0.81678,0.70774,0.63008,0.65812,0.63421,0.51273,0.15654,0.52791,4.18872,0.02301,1.25121,0.97033,0.00141945,0.00141945,0.00141945
